"","councils","years"
"1019","A624",1991
"1020","A624",1991
"1021","A624",1991
"1022","A624",1991
"1023","A624",1991
"1024","A624",1991
"1025","A624",1991
"1026","A624",1991
"1027","A624",1991
"1028","A624",1991
"1029","A624",1991
"1030","A624",1991
"1031","A624",1991
"1032","A624",1991
"1033","A624",1991
"1034","A624",1991
"1035","A624",1991
"1036","A624",1991
"1037","A624",1991
"1038","A624",1991
"1039","A624",1991
"1040","A624",1991
"1041","A624",1991
"1042","A624",1991
"1043","A624",1991
"1044","A624",1991
"1045","A624",1991
"1046","A624",1991
"1047","A624",1991
"1048","A624",1991
"1049","A624",1991
"1050","A624",1991
"1051","A624",1991
"1052","A624",1991
"1053","A624",1991
"1054","A624",1991
"1055","A624",1991
"1056","A624",1991
"1057","A624",1991
"1058","A624",1991
"1059","A624",1991
"1060","A624",1991
"1061","A624",1991
"1062","A624",1991
"1063","A624",1991
"1064","A624",1991
"1065","A624",1991
"1066","A624",1991
"1067","A624",1991
"1068","A624",1991
"1069","A624",1991
"1070","A624",1991
"1071","A624",1991
"1072","A624",1991
"1073","A624",1991
"1074","A624",1991
"1075","A624",1991
"1076","A624",1991
"1077","A624",1991
"1078","A624",1991
"1079","A624",1991
"1080","A624",1991
"1081","A624",1991
"1082","A624",1991
"1083","A624",1991
"1084","A624",1991
"1085","A624",1991
"1086","A624",1991
"1087","A624",1991
"1088","A624",1991
"1089","A624",1991
"1090","A624",1991
"1091","A624",1991
"1092","A624",1991
"1093","A624",1991
"1094","A624",1991
"1095","A624",1991
"1096","A624",1991
"1097","A624",1991
"1098","A624",1991
"1099","A624",1991
"1100","A624",1991
"1101","A624",1991
"1102","A624",1991
"1103","A624",1991
"1104","A624",1991
"1105","A624",1991
"1106","A624",1991
"1107","A624",1991
"1108","A624",1991
"1109","A624",1991
"1110","A624",1991
"1111","A624",1991
"1112","A624",1991
"1113","A624",1991
"1114","A624",1991
"1115","A624",1991
"1116","A624",1991
"1117","A624",1991
"1118","A624",1991
"1119","A624",1991
"1120","A624",1991
"1121","A624",1991
"1122","A624",1991
"1123","A624",1991
"1124","A624",1991
"1125","A624",1991
"1126","A624",1991
"1127","A624",1991
"1128","A624",1991
"1129","A624",1991
"1130","A624",1991
"1131","A624",1991
"1132","A624",1991
"1133","A624",1991
"1134","A624",1991
"1135","A624",1991
"1136","A624",1991
"1137","A624",1991
"1138","A624",1991
"1139","A624",1991
"1140","A624",1991
"1141","A624",1991
"1142","A624",1991
"1143","A624",1991
"1144","A624",1991
"1145","A624",1991
"1146","A624",1991
"1147","A624",1991
"1148","A624",1991
"1149","A624",1991
"1150","A624",1991
"1151","A624",1991
"1152","A624",1991
"1153","A624",1991
"1154","A624",1991
"1155","A624",1991
"1156","A624",1991
"1157","A624",1991
"1158","A624",1991
"1159","A624",1991
"1160","A624",1991
